seed,n,dt,n_train,n_test,fitted_a,fitted_a_plus_b,fitted_b,fitted_sigma2_inf,fitted_beta,test_mean_mae,test_var_mae,mean_w2_persistence,mean_w2_gaussian,mean_w2_jko,n_mean_pairs
25,200,0.2,12,8,0.8796696280588209,1.7767267053984188,0.8970570773395979,0.38147830649951103,0.6777826946878445,0.01869531349650388,0.02403056541592003,0.06940502653601076,0.06938844145978587,nan,11
26,200,0.2,12,8,0.9317640998306517,1.5585588877449135,0.6267947879142618,0.3478059771447622,0.5420760968897733,0.022759594130255557,0.023174993096977847,0.07671448840601769,0.07397853699985202,nan,12
27,200,0.2,12,8,0.8273298285962795,1.5696071524473445,0.742277323851065,0.36618158236726356,0.5747612307781433,0.014181857771586957,0.023789337863747616,0.0702030591887581,0.06664960470243607,nan,12
28,200,0.2,12,8,0.9022352437026429,1.4303213375541384,0.5280860938514955,0.3131143801593115,0.44785417903690133,0.018267222161878188,0.03122826280774841,0.08051450820768885,0.07935498794548848,nan,12
29,200,0.2,12,8,1.1758516842149238,1.5030699810587194,0.32721829684379555,0.368952367194464,0.5545612275705527,0.02717353122835093,0.025943585840784406,0.07272482583759166,0.07487455583629238,nan,10
30,200,0.2,12,8,1.010204719256865,1.4677722658676295,0.4575675466107645,0.3633710764342131,0.5333459882086046,0.01526625718048877,0.023436307253593497,0.07615645829536388,0.07473922759752716,nan,12
31,200,0.2,12,8,1.0417276964647852,1.6214540174773413,0.5797263210125561,0.35708080276093623,0.5789901022007542,0.03070371781647902,0.03858961310534318,0.07702689879965682,0.07700542681987121,nan,10
32,200,0.2,12,8,1.063191857356175,1.528133422296359,0.464941564940184,0.326819514894361,0.49942382376875577,0.021332763928198283,0.020710719231423626,0.08271692427689523,0.08270742008422967,nan,12
33,200,0.2,12,8,0.9126283310063916,1.4387191725678332,0.5260908415614416,0.343124038606409,0.493659132911946,0.021530251456179754,0.017337962983967274,0.06555103249486785,0.06463550781103838,nan,12
34,200,0.2,12,8,1.2639186937856357,1.6379574886930326,0.3740387949073969,0.357706725023676,0.5859084090083895,0.02025645380845483,0.02319821055153584,0.06743437293047505,0.06561067842195786,nan,10
35,200,0.2,12,8,1.0103858304513975,1.5214800361322574,0.5110942056808598,0.37548004079663627,0.5712853860382077,0.019441325499570943,0.03250226419044704,0.07408827745980402,0.08015458663729447,nan,10
36,200,0.2,12,8,1.2581843381183058,1.5394803237401349,0.2812959856218291,0.3468580736304992,0.5339811794845605,0.025013746253003073,0.01985525943264818,0.07237715071826742,0.07343166824095246,nan,11
37,200,0.2,12,8,1.3375265412488309,1.4499856023570852,0.11245906110825432,0.33395357354363614,0.4842278734939704,0.0229314863802892,0.016222072645796365,0.08455676186314692,0.08230017757466748,nan,11
38,200,0.2,12,8,0.9983257492892106,1.6011502760394596,0.602824526750249,0.38830887218278703,0.6217408578840407,0.02405285598701145,0.027368543081633626,0.07909109449191826,0.07763483114860892,nan,12
39,200,0.2,12,8,1.032837071255904,1.384505748108894,0.35166867685298997,0.32485103941640114,0.4497581313511563,0.013360450785491359,0.035719418461509424,0.06714358081701019,0.06890507934258472,nan,11
0,800,0.05,12,8,0.9483752877799515,1.4248933460162565,0.476518058236305,0.2255058695959076,0.3213218130748184,0.006167846782011169,0.016065825896714972,0.0504959955264089,0.03242405254004123,nan,12
1,800,0.05,12,8,1.1377347173087204,1.5871824047171361,0.4494476874084157,0.4140670743993709,0.6571999748593829,0.006319525382337085,0.015515346360574,0.0522806095416763,0.035383449615055004,nan,12
2,800,0.05,12,8,0.919118043672251,1.673790857381698,0.7546728137094469,0.4586935782313399,0.7677571175833133,0.0070946102333174985,0.012796361719996624,0.051168783107168825,0.03454650552303232,nan,12
3,800,0.05,12,8,0.9452210927985583,1.2981975514840716,0.3529764586855133,0.08988940354137473,0.1166942035817763,0.007122331792485011,0.019169856744612426,0.05175623431418723,0.03751117789457538,nan,12
4,800,0.05,12,8,0.9584419260429289,1.4086246804458051,0.45018275440287625,0.19968687080290498,0.2812838545739648,0.0065066388364462685,0.0128958146027073,0.048477902006791605,0.033911370357581766,nan,12
5,800,0.05,12,8,0.873416443661764,1.5991809354415978,0.7257644917798338,0.3499056650254233,0.5595624687116708,0.006607152713916764,0.012580635108541079,0.051293207815553264,0.03387725906625105,nan,12
6,800,0.05,12,8,1.0031135341537465,1.329170060344778,0.32605652619103154,0.1265972879831287,0.1682693249080204,0.004124151270709107,0.0195952651732837,0.05006738630802503,0.035732267482694514,nan,12
7,800,0.05,12,8,1.0808390361993083,1.5261946285250312,0.44535559232572286,0.3753006917562642,0.5727818998401388,0.006475677829886145,0.011329808394247423,0.047519146492273776,0.03240581086660366,nan,12
8,800,0.05,12,8,0.9774108396798928,1.4978955286182174,0.5204846889383246,0.2753848618097161,0.41249775315391946,0.007172265773197517,0.011543503516763934,0.047244253047220755,0.032810043865849535,nan,12
9,800,0.05,12,8,0.9209810488998608,1.3925061179118272,0.47152506901196645,0.28174604846465917,0.39233309618452006,0.004746348840320817,0.009384180152179178,0.05151644111372428,0.03174360847252118,nan,12
10,800,0.05,12,8,1.0498056296561349,1.4053060522470397,0.35550042259090486,0.18235194499000718,0.2562602919334763,0.00453796183299085,0.021182660796007904,0.04664739448396442,0.03351037885019746,nan,12
11,800,0.05,12,8,0.9894726551994599,1.5830286264981832,0.5935559712987233,0.43186999725182945,0.6836625685753377,0.007755993205720166,0.019388207251097425,0.05275806457471024,0.03603299728533149,nan,12
12,800,0.05,12,8,0.8869923164493377,1.5438656405666256,0.6568733241172878,0.39214014946864656,0.6054117030513043,0.006534610655071743,0.013408222158353973,0.052687486528875824,0.03496205344976887,nan,12
13,800,0.05,12,8,1.0397586383867783,1.435269280062436,0.39551064167565775,0.2605953344534995,0.374024478068704,0.006563177744927026,0.014194378075307712,0.04889246459109063,0.032749997600757606,nan,12
14,800,0.05,12,8,0.9826025744457995,1.5203385286515048,0.5377359542057053,0.3788744268083607,0.5760173885975053,0.007135879889119706,0.007953357580310086,0.04986815010120052,0.033953694712225986,nan,12
15,800,0.05,12,8,0.909951611551116,1.5730293361963712,0.6630777246452552,0.3385950146341977,0.5326198911094326,0.0036407236917437302,0.011335683282735418,0.04985378509580016,0.03364953694318898,nan,12
16,800,0.05,12,8,1.00414879824126,1.5198997601512525,0.5157509619099925,0.33687465970896796,0.5120157144926952,0.007868121187151828,0.006158557791133015,0.05040182308624254,0.033145354650525316,nan,12
17,800,0.05,12,8,1.0402897911887787,1.4380348109165477,0.397745019727769,0.2780773137140164,0.3998848572469171,0.0056731227234686835,0.010345660754999306,0.04947405749520486,0.034671807948770325,nan,12
18,800,0.05,12,8,1.139701847010575,1.4654829305160813,0.32578108350550616,0.35437023424942043,0.5193235293755109,0.008871626398884051,0.010072942271645069,0.04715021479891126,0.033754314258939634,nan,12
19,800,0.05,12,8,1.0207044682276638,1.4886677145230023,0.4679632462953385,0.28596355728120587,0.4257047152546804,0.008085843000152658,0.009846379536542077,0.050539966051204206,0.033290069360162926,nan,12
20,800,0.05,12,8,1.0666180982020896,1.3980709622450964,0.3314528640430068,0.229578205471312,0.3209666226337796,0.00623786972294163,0.01174378659203909,0.05423110164309085,0.03665846660184477,nan,12
21,800,0.05,12,8,0.9977894637454118,1.521678395169957,0.5238889314245453,0.34856699283730647,0.5304068622698904,0.007982415420263324,0.012367418989181311,0.05300407611236362,0.03643760533573811,nan,12
22,800,0.05,12,8,0.8960220311161151,1.5017266403229983,0.6057046092068832,0.35680557911528105,0.5358244435732927,0.007059883122249998,0.011370155475348642,0.047398647800672114,0.03216738291578246,nan,12
23,800,0.05,12,8,1.1376519759487742,1.46080487629956,0.3231529003507858,0.20566008793596774,0.300429259317058,0.005304268106251973,0.02225459476860482,0.046745494771385135,0.035962904594632986,nan,12
24,800,0.05,12,8,1.037517429136252,1.6159719463810875,0.5784545172448357,0.463353940192713,0.7487669685965644,0.0044420931590251,0.01199168141186048,0.04920116057450234,0.03448261908016686,nan,12
25,800,0.05,12,8,0.991481030786438,1.5055448781525276,0.5140638473660896,0.2889459126157852,0.43502103880180326,0.008001421168113428,0.017520694787300256,0.04712174543758664,0.03407860535528214,nan,12
26,800,0.05,12,8,1.0068657380839157,1.5273102804449181,0.5204445423610025,0.4190414971325657,0.6400063865035973,0.005447871288011108,0.006927745350980341,0.04898762770764973,0.03235095433675799,nan,12
