method,ic,n,M,dx,dt,tau,dt_factor,t_final,runtime_sec,runtime_median_sec,n_timing_repeats,stable,mean_err,var_err,w2_to_exact,energy_err,signed_mass_err,min_density,energy_increases,mu_T,var_T,mu_exact,var_exact
jko,gaussian,,240,,,0.05,,1.0,0.09872504200029653,0.09419831249942945,10,True,0.009009270056925645,0.004611741746130271,0.010547997265374759,0.0038302238079147566,0.0,0.0,0,0.376888711228368,0.3711364539913729,0.36787944117144233,0.36652471224524263
jko,gaussian,,240,,,0.025,,1.0,0.17327458300133003,,,True,0.004551277550496224,0.0015104071565432142,0.00544735499847188,0.0019231086557623955,0.0,0.0,0,0.37243071872193856,0.36803511940178585,0.36787944117144233,0.36652471224524263
jko,gaussian,,240,,,0.0125,,1.0,0.3381107499990321,,,True,0.002287514347798225,3.917399355574114e-05,0.002914791089657353,0.0009708213075740324,0.0,0.0,0,0.37016695551924056,0.3664855382516869,0.36787944117144233,0.36652471224524263
jko,gaussian,,480,,,0.2,,1.0,0.03304004200253985,,,True,0.03399796998460314,0.023933883864471484,0.039587004520407705,0.015318692469803552,0.0,0.0,0,0.40187741115604547,0.3904585961097141,0.36787944117144233,0.36652471224524263
jko,gaussian,,480,,,0.1,,1.0,0.058230083999660565,,,True,0.017663034067248673,0.01163765015348206,0.020482923314738825,0.007648199919454091,0.0,0.0,0,0.385542475238691,0.3781623623987247,0.36787944117144233,0.36652471224524263
jko,gaussian,,480,,,0.05,,1.0,0.11632616699716891,,,True,0.009010019278748893,0.005421927389828274,0.010460957728022897,0.0038224163434898983,0.0,0.0,0,0.3768894604501912,0.3719466396350709,0.36787944117144233,0.36652471224524263
jko,gaussian,,480,,,0.025,,1.0,0.3952935420020367,,,True,0.004550568640348418,0.0023113418734008184,0.005340053009403892,0.0019138652521774602,0.0,0.0,0,0.37243000981179075,0.36883605411864345,0.36787944117144233,0.36652471224524263
jko,gaussian,,480,,,0.0125,,1.0,0.386303916999168,0.38650604149734136,10,True,0.0022874010787028998,0.0007571955849676182,0.0027765397942453884,0.0009613840131494356,0.0,0.0,0,0.37016684225014523,0.36728190783021025,0.36787944117144233,0.36652471224524263
implicit,gaussian,81,,0.15000000000000036,0.2,,,1.0,0.0034367499974905513,,,True,0.08926751027812269,0.11825801838334815,0.12064096744125316,0.056587299104344846,1.1102230246251565e-15,1.9357762422747146e-14,0,0.457146951449565,0.4847827306285908,0.36787944117144233,0.36652471224524263
implicit,gaussian,81,,0.15000000000000036,0.1,,,1.0,0.005993457998556551,,,True,0.06063366125319897,0.09735689813025267,0.09123498678108787,0.03892557358044274,1.7763568394002505e-15,6.372005517880376e-15,0,0.4285131024246413,0.4638816103754953,0.36787944117144233,0.36652471224524263
implicit,gaussian,81,,0.15000000000000036,0.05,,,1.0,0.010222624998277752,,,True,0.04514884512083872,0.0863509537761345,0.07620232594449725,0.03003161435397239,1.7763568394002505e-15,3.593661864808344e-15,0,0.41302828629228105,0.45287566602137713,0.36787944117144233,0.36652471224524263
implicit,gaussian,81,,0.15000000000000036,0.025,,,1.0,0.02152058399951784,,,True,0.037087505760557415,0.0807304465016413,0.06850030817881037,0.025590353297291646,6.661338147750939e-16,2.7970878627240987e-15,0,0.40496694693199975,0.44725515874688393,0.36787944117144233,0.36652471224524263
implicit,gaussian,161,,0.07500000000000018,0.2,,,1.0,0.0036598749975382816,,,True,0.07762445035900994,0.081952492873693,0.09846975708919078,0.04326143037343683,7.771561172376096e-15,8.937466076170443e-16,0,0.4455038915304523,0.44847720511893563,0.36787944117144233,0.36652471224524263
implicit,gaussian,161,,0.07500000000000018,0.1,,,1.0,0.007249124999361811,,,True,0.047774032949130796,0.06036417406873784,0.06588099123020788,0.026201384522329563,7.105427357601002e-15,5.495884624466136e-17,0,0.41565347412057313,0.4268888863139805,0.36787944117144233,0.36652471224524263
implicit,gaussian,161,,0.07500000000000018,0.05,,,1.0,0.015056707998155616,0.015090917000634363,10,True,0.03160516172650529,0.049068584682855965,0.04873677445761896,0.01772434269740719,6.439293542825908e-15,8.084532057334361e-18,0,0.3994846028979476,0.4155932969280986,0.36787944117144233,0.36652471224524263
implicit,gaussian,161,,0.07500000000000018,0.025,,,1.0,0.030021083999599796,,,True,0.02318023638281269,0.043324464877355695,0.04030820685918513,0.013522851757756083,7.105427357601002e-15,3.438613046921148e-18,0,0.391059677554255,0.40984917712259833,0.36787944117144233,0.36652471224524263
implicit,gaussian,321,,0.037499999999999645,0.2,,,1.0,0.006336999998893589,,,True,0.07176479773273575,0.06373181598834132,0.08735649208094366,0.03723880243619976,1.9984014443252818e-15,1.6663787591223788e-16,0,0.4396442389041781,0.43025652823358396,0.36787944117144233,0.36652471224524263
implicit,gaussian,321,,0.037499999999999645,0.1,,,1.0,0.01142170800085296,,,True,0.04128582685398818,0.041822087904615224,0.05289736024501402,0.020589644799361984,3.9968028886505635e-15,3.306358398211261e-18,0,0.4091652680254305,0.40834680014985786,0.36787944117144233,0.36652471224524263
implicit,gaussian,321,,0.037499999999999645,0.05,,,1.0,0.02420541700121248,,,True,0.02476274820033192,0.0303967072708215,0.03460367197424705,0.012386302738907173,3.3306690738754696e-15,1.1583283423689096e-19,0,0.39264218937177425,0.39692141951606413,0.36787944117144233,0.36652471224524263
